"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 RB1)","2023-Sep-10 03:19 ±    00:05","0.03902","0.03854","8.70","8.69","26.6","13 m -   29 m","0"
"(2023 RP2)","2023-Sep-10 13:12 ± < 00:01","0.00323","0.00323","9.12","9.03","27.2","9.7 m -   22 m","0"
"(2023 RJ)","2023-Sep-10 13:14 ± < 00:01","0.03620","0.03601","20.14","20.13","24.6","31 m -   70 m","0"
"(2023 QE8)","2023-Sep-10 22:03 ± < 00:01","0.01017","0.01015","14.46","14.44","24.0","42 m -   94 m","1"
"(2023 QF6)","2023-Sep-10 23:21 ±    20:56","0.01780","0.01729","10.46","10.45","26.1","16 m -   36 m","0"
"(2023 RU)","2023-Sep-11 15:07 ±    00:02","0.02716","0.02687","20.26","20.26","25.7","20 m -   44 m","0"
"(2023 RK)","2023-Sep-11 16:57 ±    00:05","0.04086","0.04052","9.39","9.39","25.9","18 m -   40 m","0"
"(2023 RC1)","2023-Sep-12 05:54 ±    00:03","0.00804","0.00800","5.07","5.00","28.7","4.8 m -   11 m","0"
"(2020 RT2)","2023-Sep-12 06:29 ± 1_07:53","0.02814","0.01289","10.03","10.02","28.2","6.0 m -   13 m","0"
"(2023 RO1)","2023-Sep-12 07:39 ±    00:07","0.01681","0.01663","12.41","12.39","26.1","16 m -   36 m","0"
"(2023 RR)","2023-Sep-13 02:49 ±    00:03","0.04452","0.04407","21.16","21.16","24.3","37 m -   83 m","0"
"(2023 RH2)","2023-Sep-13 04:35 ±    00:02","0.02901","0.02829","21.47","21.47","23.9","45 m -  100 m","0"
"(2023 RO2)","2023-Sep-15 11:37 ±    00:01","0.01780","0.01770","6.05","6.02","27.7","7.6 m -   17 m","0"
"(2016 LY48)","2023-Sep-16 08:32 ± < 00:01","0.01288","0.01287","10.83","10.81","22.8","74 m -  170 m","1"
"(2010 TE)","2023-Sep-16 20:31 ± 3_01:18","0.01728","0.01673","5.96","5.93","26.0","17 m -   38 m","0"
"(2019 SF6)","2023-Sep-26 18:54 ± < 00:01","0.04280","0.04280","8.61","8.61","26.2","15 m -   34 m","0"
"(2013 TG6)","2023-Sep-28 21:33 ±    16:34","0.00913","0.00895","4.15","4.08","26.6","13 m -   28 m","0"
"(2009 UG)","2023-Sep-30 13:26 ± < 00:01","0.01570","0.01570","9.00","8.99","23.3","58 m -  130 m","1"
"349507 (2008 QY)","2023-Oct-03 20:39 ± < 00:01","0.04228","0.04228","20.96","20.96","18.5","520 m -  1.2 km","2"
"(2023 QC8)","2023-Oct-05 03:54 ±    00:57","0.04040","0.04028","6.33","6.32","24.6","31 m -   70 m","0"
"(2022 TD)","2023-Oct-07 00:17 ±    00:33","0.02284","0.02192","9.40","9.39","27.8","7.4 m -   17 m","0"
"(2018 ER1)","2023-Oct-08 14:00 ±    00:42","0.03205","0.03165","5.29","5.28","25.6","20 m -   45 m","0"
"(2022 UX1)","2023-Oct-11 13:53 ±    04:47","0.00801","0.00492","8.58","8.54","28.0","6.7 m -   15 m","0"
"(2015 KW120)","2023-Oct-12 02:52 ±    00:55","0.04660","0.04652","13.04","13.03","26.0","17 m -   38 m","0"
"(2021 NT14)","2023-Oct-13 17:10 ± < 00:01","0.04764","0.04764","8.58","8.57","20.7","190 m -  420 m","1"
"(2011 GA)","2023-Oct-15 07:09 ± < 00:01","0.01743","0.01742","16.59","16.59","20.9","170 m -  390 m","2"
"(2007 SQ6)","2023-Oct-15 23:26 ± < 00:01","0.04956","0.04956","6.45","6.45","22.2","97 m -  220 m","0"
"(2019 UZ3)","2023-Oct-16 13:53 ± 7_11:48","0.02456","0.01798","8.31","8.30","27.0","11 m -   24 m","0"
"(1998 HH49)","2023-Oct-17 00:33 ± < 00:01","0.00784","0.00784","14.79","14.76","21.3","140 m -  320 m","2"
"(2022 UO10)","2023-Oct-19 00:38 ±    02:42","0.01984","0.01776","9.77","9.75","26.8","12 m -   26 m","0"
"(2020 UR)","2023-Oct-20 03:58 ± 5_17:43","0.01491","0.00911","12.91","12.90","27.9","7.0 m -   16 m","0"
"(2020 FM6)","2023-Oct-23 14:45 ±    10:46","0.03959","0.03188","15.86","15.86","21.9","110 m -  250 m","1"
"(2019 HH4)","2023-Oct-24 10:46 ± < 00:01","0.03396","0.03396","20.02","20.01","19.9","270 m -  610 m","1"
"(2021 SZ4)","2023-Oct-26 05:59 ±    00:47","0.03576","0.03574","29.96","29.95","20.5","220 m -  480 m","1"
"302169 (2001 TD45)","2023-Oct-26 23:00 ± < 00:01","0.03258","0.03258","25.68","25.68","19.9","280 m -  630 m","1"
"525229 (2004 UU1)","2023-Oct-30 10:41 ± < 00:01","0.02725","0.02725","17.43","17.42","21.3","150 m -  330 m","1"
"(2013 UV3)","2023-Nov-01 11:12 ± 8_20:54","0.03759","0.00144","15.43","15.43","26.8","12 m -   26 m","0"
"(2016 WY)","2023-Nov-02 10:58 ± 1_01:57","0.02325","0.01919","3.94","3.91","29.2","3.8 m -  8.6 m","0"
"363505 (2003 UC20)","2023-Nov-02 15:49 ± < 00:01","0.03511","0.03511","7.97","7.96","18.5","1.876±0.037 km","2"
"(2022 JF)","2023-Nov-03 05:38 ±    11:03","0.03882","0.02367","17.15","17.15","24.8","30 m -   66 m","0"
"(2023 QP8)","2023-Nov-03 18:26 ±    01:59","0.04380","0.04363","8.83","8.83","21.6","130 m -  280 m","1"
"(2016 VW2)","2023-Nov-03 22:53 ± 7_08:46","0.02582","0.02448","8.10","8.09","26.3","15 m -   33 m","0"
"(2019 UH7)","2023-Nov-04 00:29 ± < 00:01","0.02546","0.02545","5.94","5.92","27.5","8.6 m -   19 m","0"